2025-10-23 17:37:36.302 | INFO     | open_webui.routers.pollinations:generate_scenic_image:324 - Starting image editing process...
2025-10-23 17:37:36.302 | INFO     | open_webui.routers.pollinations:generate_scenic_image:357 - Extracted airline: 國泰航空, price: 2,690
2025-10-23 17:37:36.302 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1455 - Adding bottom banner: requested 1024x1024 image
2025-10-23 17:37:36.302 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1456 - Destination for special text: 首爾
2025-10-23 17:37:36.302 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1457 - Airline: 國泰航空, Price: 2,690
2025-10-23 17:37:36.309 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1461 - Loaded image: actual size (768, 768), mode: RGB
2025-10-23 17:37:36.309 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1471 - Banner dimensions: 768x192 at y=576
2025-10-23 17:37:36.312 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1481 - Cropped scenic area: (768, 576)
2025-10-23 17:37:36.312 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1486 - Created banner area: (768, 192) with color (135, 206, 250)
2025-10-23 17:37:36.313 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1492 - Combined final image: (768, 768)
2025-10-23 17:37:36.314 | INFO     | open_webui.routers.pollinations:_load_chinese_font:1017 - Successfully loaded font: /usr/share/fonts/truetype/wqy/wqy-zenhei.ttc (size: 60, bold: True)
2025-10-23 17:37:36.314 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1531 - Added purple rectangle at (463, 541) size 280x86 for airline '國泰航空' (text width: 240)
2025-10-23 17:37:36.314 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1557 - Price length: 5, using prefix/suffix font size: 70
2025-10-23 17:37:36.315 | INFO     | open_webui.routers.pollinations:_load_chinese_font:1017 - Successfully loaded font: /usr/share/fonts/truetype/wqy/wqy-zenhei.ttc (size: 60, bold: True)
2025-10-23 17:37:36.315 | INFO     | open_webui.routers.pollinations:_draw_text_on_image:1040 - Drew text '國泰航空' at position (483, 540) with color (255, 255, 255), font size: 60
2025-10-23 17:37:36.315 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1587 - Added text: '國泰航空' at (483, 540) - centered from (603, 569)
2025-10-23 17:37:36.316 | INFO     | open_webui.routers.pollinations:_load_chinese_font:1017 - Successfully loaded font: /usr/share/fonts/truetype/wqy/wqy-zenhei.ttc (size: 70, bold: True)
2025-10-23 17:37:36.316 | INFO     | open_webui.routers.pollinations:_load_chinese_font:1017 - Successfully loaded font: /usr/share/fonts/truetype/wqy/wqy-zenhei.ttc (size: 105, bold: True)
2025-10-23 17:37:36.317 | INFO     | open_webui.routers.pollinations:_load_chinese_font:1017 - Successfully loaded font: /usr/share/fonts/truetype/wqy/wqy-zenhei.ttc (size: 70, bold: True)
2025-10-23 17:37:36.317 | INFO     | open_webui.routers.pollinations:_load_chinese_font:1017 - Successfully loaded font: /usr/share/fonts/truetype/wqy/wqy-zenhei.ttc (size: 70, bold: True)
2025-10-23 17:37:36.318 | INFO     | open_webui.routers.pollinations:_draw_multipart_text:1237 - Drew multipart text '來回連稅$' at (47, 640.0), size: 70, color: (255, 255, 255)
2025-10-23 17:37:36.318 | INFO     | open_webui.routers.pollinations:_load_chinese_font:1017 - Successfully loaded font: /usr/share/fonts/truetype/wqy/wqy-zenhei.ttc (size: 105, bold: True)
2025-10-23 17:37:36.318 | INFO     | open_webui.routers.pollinations:_draw_multipart_text:1237 - Drew multipart text '2,690' at (369, 612.0), size: 105, color: (255, 255, 255)
2025-10-23 17:37:36.319 | INFO     | open_webui.routers.pollinations:_load_chinese_font:1017 - Successfully loaded font: /usr/share/fonts/truetype/wqy/wqy-zenhei.ttc (size: 70, bold: True)
2025-10-23 17:37:36.319 | INFO     | open_webui.routers.pollinations:_draw_multipart_text:1237 - Drew multipart text '起' at (652, 640.0), size: 70, color: (255, 255, 255)
2025-10-23 17:37:36.319 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1608 - Added multipart text at (47, 612) - centered from (384, 612)
2025-10-23 17:37:36.319 | WARNING  | open_webui.routers.pollinations:_add_bottom_banner:1630 - flyagainla_icon.png not found at /app/flyagainla_icon.png
